Japanese Name,English Name,Id,Adjusted Id,Male Icon,Female Icon,Cast Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
ベリーショート,,0,0,,,,efb19a743e29fd3c933314aa0bf5bf83,,,,,,,,,,,,,,,,,
ショートマッシュ,,1,0,,,,36fb1b2bf7a7d0709990c9cc08b2bbfc,,,,,,,,,,,,,,,,,
スパイキーウルフ,,2,0,,,,8ae80cc20d0d673c8283a9fdeacfe1ff,,,,,,,,,,,,,,,,,
カジュアル,,3,0,,,,9953832efba0da45179b18be5ddb026f,,,,,,,,,,,,,,,,,
,,4,0,,,,093b90c1bc5ef8bb52435995fd762a89,,,,,,,,,,,,,,,,,
ショートウルフ,,5,0,,,,7e527286232c535de1af35c10cf81456,,,,,,,,,,,,,,,,,
ミディアムレイヤー,,6,0,,,,884c7a65965aff223e0cb39ebd66ee5f,,,,,,,,,,,,,,,,,
ブレイズ,,7,0,,,,0eae672f7afa2b8ab12673fdb289a58c,,,,,,,,,,,,,,,,,
クラシックショート,,8,0,,,,dca05ed9a536241453bd963617830b14,,,,,,,,,,,,,,,,,
スパイク,,9,0,,,,69261e4589b2457b2b78508e76e9c076,,,,,,,,,,,,,,,,,
ヘリパイロットヘルメット,,10,0,,,,804852bbffbfe8835bb5ec11cc387057,,,,,,,,,,,,,,,,,
サムライポニー,,12,0,,,,68af207eefbb30383e7f0b17207c4d79,,,,,,,,,,,,,,,,,
シャープストレート,,13,0,,,,d543bd98bb258ff024113d754bf215f5,,,,,,,,,,,,,,,,,
ビグテール,,140,0,,,,f225fd53eab32b56ecd4f7a50ca6975d,,,,,,,,,,,,,,,,,
ウェーブ,,150,0,,,,158b90456fbaa60649e6057cfa373107,,,,,,,,,,,,,,,,,
リーゼント,,160,0,,,,dedc331bca70726d5ba41f69b1ce00b6,,,,,,,,,,,,,,,,,
,,170,0,,,,a3d4e67e07e10c11e05ad1d95b39c513,,,,,,,,,,,,,,,,,
,,179,0,,,,868bda64c606d7fef16b74e2fcda71bd,,,,,,,,,,,,,,,,,
,,180,0,,,,3b0f732ea36d46fcdb945cc1230df081,,,,,,,,,,,,,,,,,
ショートストレート,,190,0,,,,5bd594aec17d5c9dc727bbac23dbbac9,,,,,,,,,,,,,,,,,
モヒカン,,200,0,,,,52922e62c84951741e2677af48261ca0,,,,,,,,,,,,,,,,,
スキンヘッド,,210,0,,,,a01fde457b6bf810097b1a08ee3a2a3d,,,,,,,,,,,,,,,,,
オールバック,,220,0,,,,fd1cf54bca4b938131d4caf4355365ba,,,,,,,,,,,,,,,,,
ふんわりアフロ,,230,0,,,,dcca4cb5bbab52c294e7428bcbdb0cd5,,,,,,,,,,,,,,,,,
中分けショートボブ,,240,0,,,,027977c93a7556c0a39740f5988f0339,,,,,,,,,,,,,,,,,
ワイルドポニー,,250,0,,,,da6dfe2c47c178b3edca3973cecbc06d,,,,,,,,,,,,,,,,,
マナフヘッドギア,,260,0,,,,bad64d5f50af2db7fa2c6d8f945e4e0b,,,,,,,,,,,,,,,,,
マナフヘッドギア雅,,261,0,,,,7d0edd0f56cbbd5036aeb49a70728328,,,,,,,,,,,,,,,,,
マナフヘッドギア葉,,262,0,,,,fbcfff43149f92ee8ae2fdfbd5558b84,,,,,,,,,,,,,,,,,
