JP Name,Global Name,Internal Name,ID,Filename,Hash Filename
数字『0』(Ob),,ob_7000_0032,10027,object/map_object/ob_7000_0032.ice,
数字『1』(Ob),,ob_7000_0033,10028,object/map_object/ob_7000_0033.ice,
数字『2』(Ob),,ob_7000_0034,10029,object/map_object/ob_7000_0034.ice,
数字『3』(Ob),,ob_7000_0035,10030,object/map_object/ob_7000_0035.ice,
数字『4』(Ob),,ob_7000_0036,10031,object/map_object/ob_7000_0036.ice,
数字『5』(Ob),,ob_7000_0037,10032,object/map_object/ob_7000_0037.ice,
数字『6』(Ob),,ob_7000_0038,10033,object/map_object/ob_7000_0038.ice,
数字『7』(Ob),,ob_7000_0039,10034,object/map_object/ob_7000_0039.ice,
数字『8』(Ob),,ob_7000_0040,10035,object/map_object/ob_7000_0040.ice,
数字『9』(Ob),,ob_7000_0041,10036,object/map_object/ob_7000_0041.ice,
汎用コンテナ,,ob_7000_0042,6,object/map_object/ob_7000_0042.ice,
汎用コンテナB,,ob_7000_0043,7,object/map_object/ob_7000_0043.ice,
ポスター掲示板,,ob_7000_0044,8,object/map_object/ob_7000_0044.ice,
ラッピーミニドール,,ob_7000_0045,9,object/map_object/ob_7000_0045.ice,
ミャーン,,ob_7000_0047,11,object/map_object/ob_7000_0047.ice,
ラッピーぬいぐるみ,,ob_7000_0048,12,object/map_object/ob_7000_0048.ice,
ウエディングケーキ,,ob_7000_0049,13,object/map_object/ob_7000_0049.ice,
ナーゴ,,ob_7000_0050,14,object/map_object/ob_7000_0050.ice,
ビッグスター,,ob_7000_0051,15,object/map_object/ob_7000_0051.ice,
ビッグクレセント,,ob_7000_0052,16,object/map_object/ob_7000_0052.ice,
ササ・ツリー,,ob_7000_0053,17,object/map_object/ob_7000_0053.ice,
障子,,ob_7000_0054,18,object/map_object/ob_7000_0054.ice,
貝殻ベッド,,ob_7000_0055,19,object/map_object/ob_7000_0055.ice,
『PSO2』11周年(Ob),,ob_7000_0056,20,object/map_object/ob_7000_0056.ice,
ラッピーライト,,ob_7000_0057,21,object/map_object/ob_7000_0057.ice,
リリーパライト,,ob_7000_0058,22,object/map_object/ob_7000_0058.ice,
メロン,,ob_7000_0059,23,object/map_object/ob_7000_0059.ice,
マロン,,ob_7000_0060,24,object/map_object/ob_7000_0060.ice,
砂城,,ob_7000_0066,30,object/map_object/ob_7000_0066.ice,
砂山,,ob_7000_0067,31,object/map_object/ob_7000_0067.ice,
グリーンパラソル,,ob_7000_0068,32,object/map_object/ob_7000_0068.ice,
オレンジパラソル,,ob_7000_0069,33,object/map_object/ob_7000_0069.ice,
ゴーカ：パラソル,,ob_7000_0070,34,object/map_object/ob_7000_0070.ice,
バナナボート,,ob_7000_0071,35,object/map_object/ob_7000_0071.ice,
【推しの子】：パネル(Ob),,ob_7000_0072,36,object/map_object/ob_7000_0072.ice,
異世界おじさん：パネル(Ob),,ob_7000_0073,37,object/map_object/ob_7000_0073.ice,
異世界おじさん：パネルB(Ob),,ob_7000_0074,38,object/map_object/ob_7000_0074.ice,
異世界おじさん：パネルC(Ob),,ob_7000_0075,39,object/map_object/ob_7000_0075.ice,
