Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
ベースボディT1,,100000,0,c8d8fabb4ca6dfff68b9d884f248aa1e,f65a2a073f5550ddf04717ccd5267ccc,195fac68420e7a08fb37ae36403a419b,,,,,,,,,,,,,,
マイティボディ,,100010,0,9ef2d3000ee7265dff98b98595202d70,508482e9d5b01bfbd7d3d61e1363d8bb,a783f6d313241bd887568eec4b028197,,,,,,,,,,,,,,
マスキュラーボディ,,100020,0,6349209688c203aa3034b7b6395d9043,d6a02afee00ae667f119c1e2a7628c01,de995dbb0d2c09bffb00893b66dfd6ac,,,,,,,,,,,,,,
スケイルボディT1,,100030,0,7499850f2f1a99bb81093453a1ecd4df,e58df3a18de193bd3cbaa5c65a64a015,ecdccf0cee4e0c205c88659f06816f20,,,,,,,,,,,,,,
ベースボディT1/B,,100040,0,973b28627ae8a408e573203540762bf6,6d7573b27fb42b35ab828b628cda64bb,ee351ec0b3f2fcd9bf5fc9175a81425f,,,,,,,,,,,,,,
トラガラボディT1,,100050,0,12ec61772b927d9ff24d2cc670492f9d,0c8412e6a0d9fe914235effabc30f9bc,ca7ed27d059848db8ee9aa8fe62bae63,,,,,,,,,,,,,,
￥[NPC]NPCガロア専用筋肉肌,,150000,0,,a1f58eabd55380f7536408cca1c0d7d2,ceb79c94b92ed0c24535d8a6d47ed3fa,,,,,,,,,,,,,,
,,199900,0,,5b3396a1534f1c9c370948635e7b6e67,994fa20de33eda175428714acc72747a,,,,,,,,,,,,,,
ベースボディT2,,200000,0,2f1bf409e5cedb79c66922082ace89a9,af90e2fdc4e355ecb5e868a04e0e5491,be23da464641f6ea102f4366095fa5eb,,,,,,,,,,,,,,
スケイルボディT2,,200010,0,51169e17feeec9334950d3a81b7a0485,a5fc6312639d35c2c37f4412317a327d,ff59788c88d2dc1f263f35dc774e95b2,,,,,,,,,,,,,,
トラガラボディT2,,200020,0,8434be86f4061cd1bbd39e843c05a0df,0ac066dd01ad7d3029ebeb318213f3ae,0fe0cbb87b6ddcb6272a49338a8aae5e,,,,,,,,,,,,,,
,,299900,0,,7123507858f419eeb04cf4a94b660187,4f358060f8aef94e89d061e129277b18,,,,,,,,,,,,,,
