Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
キリットアイ,,100000,0,e4f992c4596ce097fd13ac9ebf598cce,796f6891566faf4983d6b57b533187b2,,,,,,,,,,,,,,,
パワフルアイ,,100010,0,f3570807c3d1275d0159fac2b9f18af2,2f5595169d620bdba9ce5825cb720659,,,,,,,,,,,,,,,
ブライトアイ,,100020,0,b4f5b8e6d56a7dcbaa8442652f056c54,3edc77828e4bcffe20f54a5a0ea67acf,,,,,,,,,,,,,,,
レプタイルアイ,,100030,0,0dec5ea099ff02e8ac5ae3f68327847f,2bff3e64c123ba7f9366435d4c738e3d,,,,,,,,,,,,,,,
グラントアイ,,100040,0,70285e855939cf83302cd0294826b252,8e08f2684944c31d497ffdf9c8044de2,,,,,,,,,,,,,,,
イラスティカアイ/C,,100050,0,ac3b7a7c2a8ae4b6a3dd6c97e0223dd4,8101d7f4b215a844ba44d0d9ed1ee32e,,,,,,,,,,,,,,,
,,100060,0,ddc940bbecce82d78dfb49a45394a4f3,d9ac2bf5cef39786854fa48f26c728d7,,,,,,,,,,,,,,,
ピッカリアイ,,100070,0,0446b0000fd8ebcf40cc64c5ad272861,2195b15fd223058b72b0aeb3960f43bf,,,,,,,,,,,,,,,
ヒュマーノアイ,,100080,0,f334e7650ad6980e8c64cc4199541e5a,cac8003705f979d77d3db90808b57812,,,,,,,,,,,,,,,
ヒュマーノアイ/B,,100090,0,e9578d0ba85ed0aa9ebf58e65508e708,64937797331ff3117498ad3b9c44ff4a,,,,,,,,,,,,,,,
ヒュマーノアイ/C,,100100,0,70f89becd6cbd34cbdfcf644a4b88706,2c828bf6d83e8208944f994b2770fb2d,,,,,,,,,,,,,,,
キャスティノアイ,,100110,0,e3775ed6c9d4954fababc7e709aee9cb,a1a6ec19992e44ffe781aa3b825af4a7,,,,,,,,,,,,,,,
キャスティノアイ/B,,100120,0,1610ee2471bcd8e84884f91395137724,c1739b602ef216e81a52b40c04a8c196,,,,,,,,,,,,,,,
デュマーノアイ,,100130,0,2cc4b976e83e7897a6161768c959bfc6,1bea2cf0a49b3d725835632181758025,,,,,,,,,,,,,,,
アニマティカアイ,,100140,0,f134ee933a732e7a9d201e8b800832bb,466d2f9a9156e18701f8c8db0fec32e8,,,,,,,,,,,,,,,
カートゥンアイ,,100150,0,40ea6c84fa13a546474815dab790339e,a58d8b74339738148d6f9c7dff2cec09,,,,,,,,,,,,,,,
アニマティカアイ/B,,100160,0,dc29c85d15fc37d4c2cafe92b783cdcd,98ee7485fa72c1b3482595d5249198dd,,,,,,,,,,,,,,,
バンデシニーアイ,,100170,0,49472f4a6bc4744a9446090e88b1a00b,59936e3263d0f8abb5d2aff04195ad8f,,,,,,,,,,,,,,,
アニマティカアイ/C,,100180,0,5e8e8a38db0d3cd3bbfd398224a92f95,3663f8614d5acfbb755b4563a34787ae,,,,,,,,,,,,,,,
イラスティカアイ,,100190,0,b2df36332c4605e009bc2d7fb19d88c4,f616ec9813ea6b44e1ec4c3c6f4e8edc,,,,,,,,,,,,,,,
イラスティカアイ/B,,100200,0,e8c9e875be7fa9cac00b141f250eb442,6e5cd3402431927f6186ebdaabe720dc,,,,,,,,,,,,,,,
ルシオーラアイ,,100210,0,cfe6d92a67617cb3d50f8e7952871285,dee96159833912aaccb3d51e2ad09b8e,,,,,,,,,,,,,,,
クッキリクローノアイ,,100220,0,53a196f18db48454dd7b270713fe3ddb,b633f17068f10d4207a7ac1ba9bc5c86,,,,,,,,,,,,,,,
アイノサクネアイ,,100230,0,8a6bc4aa12f53070051d03b57a758caf,15955744921b9aed845445a83d084d81,,,,,,,,,,,,,,,
￥[NPC]セントラルリーダー瞳,,100240,0,,ef562b4bbe7f04c7b13b1b7af5ba8bdd,,,,,,,,,,,,,,,
,,100250,0,,b9b80e31c6537d4c2bdecea8daa3a319,,,,,,,,,,,,,,,
,,100260,0,,46148b77922326715ddfc1dc206c78e2,,,,,,,,,,,,,,,
,,100270,0,,ea027db34eeb0a3f6b3da512d2f3a047,,,,,,,,,,,,,,,
,,100280,0,,65e5df8095addd16e8f20d2a85c70668,,,,,,,,,,,,,,,
,,100290,0,,d22c11965839e98ec71109ccf931df7e,,,,,,,,,,,,,,,
バンデシニーアイ/B,,100300,0,b8027ca95760a2c7a2a3b717f14ce273,a781c05a8c081aa09f7e883d7ffa53ee,,,,,,,,,,,,,,,
カートゥンアイ/B,,100310,0,2dc090130648ffbcfb394c6c2bfb3164,b1449dcc878fec6b134fa07205775acf,,,,,,,,,,,,,,,
イラスティカアイ/D,,100320,0,5d8d38d0ac5c5c290e8bdbb21afeaca3,8898935174e157e0f0859dc7dde902be,,,,,,,,,,,,,,,
ルシオーラアイ/B,,100330,0,c274a4fa9084bdc97518ba4af01d5eff,eb408aa8a81d4ae90b282432ad40a8d2,,,,,,,,,,,,,,,
ジットリアイ,,100340,0,a635ced0588fe8d75042cdf318919c0b,0a96cdb9238699e9df6aae99e3190d1d,,,,,,,,,,,,,,,
,,100350,0,,e415a01159d161da50763a4cf7a80126,,,,,,,,,,,,,,,
バンデシニーアイ/C,,100360,0,b543eac4fe5efb2c757b385ac74e4912,6ffe877d158fcbfffcb45d530746005d,,,,,,,,,,,,,,,
イラスティカアイ/E,,100370,0,25d3e91002d70037b490bf41defe85fa,55356bfe7392d0d025fed2f832f67b94,,,,,,,,,,,,,,,
ウォータリーアイ,,100380,0,11236cda2d7b2cfa53b371b580d9c4f6,f46e90b2851406593dde81a954bcdc89,,,,,,,,,,,,,,,
カートゥンアイ/C,,100390,0,bbabb2ab75888606d1ecacdac1926d11,6d998b98dc89916b5e7adc8696902fb4,,,,,,,,,,,,,,,
イラスティカアイ/F,,100400,0,2e2c6fd5ab1e54c55364991611fb1338,827d0e760d1393ac41a38b459efba4b6,,,,,,,,,,,,,,,
,,100410,0,,a40bd151a47d6ae86e9b7f3e86a37350,,,,,,,,,,,,,,,
,,100420,0,,ebb5f65a47f9934451e3848f7d4f88aa,,,,,,,,,,,,,,,
パッチリアイ,,100440,0,10e8b3e27b3a01c5f292334160bd0b29,8882ea9beb0a1541d7f15ccb2989369b,,,,,,,,,,,,,,,
￥100440の白目明るい版,,100450,0,,2ab1caf4484b5b4bdf87ba818b41efcf,,,,,,,,,,,,,,,
ヤミオチアイ,,100460,0,fffbb2b85b92209449629e3e9e91cdb4,6b2492f0af83850059fd189a513376a3,,,,,,,,,,,,,,,
,,100470,0,,1c9bbb5e8d1d2e68ee516068b9191b06,,,,,,,,,,,,,,,
シャイニーアイ,,100480,0,64c8d96e735178bfb95e09747684ce82,fba0e2612b9c0788254254fdc6eda7d4,,,,,,,,,,,,,,,
ドッキリアイ,,100490,0,7ff2f25e7e8755241b5f169130ef1518,bc68afc45915fceecc1d9024a2179ff8,,,,,,,,,,,,,,,
シャイニーハートアイ,,100500,0,03c2ee086478ae9d85edf555a4ecaa2e,6cd30e43a56e607e9b6febca4fb8914f,,,,,,,,,,,,,,,
ダークライトアイ,,100510,0,37d9a8bae4fde7f7b7daa50d2e80eaa1,b4e0b89d25b3212961e3f6c33df02431,,,,,,,,,,,,,,,
ダークブラッドアイ,,100520,0,b3e4536405da8b3833d545f71c83e066,f8a3eb2df6ec171dad94a45ef9168c13,,,,,,,,,,,,,,,
