Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
デュオホーン,,100000,0,25c9459bb5a35f012fa1229660c79402,2fe1886f69e9907a7433645a43291f57,,,,,,,,,,,,,,,
ユニホーン,,100010,0,ae2445685b09556e59ddfcb3b4ac5f2f,f6c46c0b0035180b71254196a1251f45,,,,,,,,,,,,,,,
グラデホーン,,100020,0,59fa957c0a3a38ab84a1f87690e1262b,0abfa6e64722a40d87ab1b20e639adae,,,,,,,,,,,,,,,
グラデホーン/2,,100021,0,28920df84dabcbf3bad9ba3782eaef34,6efb89cf76f51f080891e0d7df6fdbf7,,,,,,,,,,,,,,,
ヨーマホーン,,100030,0,26c051fbe3c5f7d5aeb38c671f7392aa,c3322daab683631b786774d5f015ff28,,,,,,,,,,,,,,,
ツイストホーン,,100040,0,f72777f3376a5bc02b99c4bdf8cea28d,a6da3c2e1b3766c2a2081f38c54e3c6f,,,,,,,,,,,,,,,
ツイストホーン/2,,100041,0,194b64ecd3eb65c5f2c8844f9e0a2678,6ccc76a3a604334e7522fc49183520d5,,,,,,,,,,,,,,,
スタウトホーン,,100050,0,a891e210ad100cdb24be92391e136bb2,e4489c03a1a87790b84298139fc37ae2,,,,,,,,,,,,,,,
トラガラユニホーン,,100060,0,00e1fd03a87d8c251cfc994c95487d39,1e4d232f2b61fa15b326a76bb7ffd199,,,,,,,,,,,,,,,
トラガラデュオホーン,,100070,0,1e33102863c691d04389f98cf3e6851a,ddb084793d12d3b8b746666cbef79519,,,,,,,,,,,,,,,
ファンシーホーン,,100080,0,c2f42c15622bc6235fa690b35f0681e9,7a89221e802e71892afdfb8c90c7320d,,,,,,,,,,,,,,,
ファンシーホーン/2,,100081,0,f43f785642a48e03f52651d594422375,5cb8d0390cb3942a83baf54d62176951,,,,,,,,,,,,,,,
ナーワルホーン,,100090,0,20e136b92bbbeb960ef00e58aaa2f197,d93912e9b175a22455d540b8eb15e836,,,,,,,,,,,,,,,
ナーワルホーン/2,,100091,0,25c657a6803751e5bfbca1b54ebf065f,eb1ba9cd776d45ad8993b758f20f93e8,,,,,,,,,,,,,,,
ジャギーホーン,,100100,0,a1327711091ad082ca9bdc85138abc0d,aafaa4fc3a34134f137aea91f629135c,,,,,,,,,,,,,,,
サニィホーン,,100110,0,e2e8c2f19c6bcbdbe9707ede0c574a9e,2cf94802a918c32533b0796a43ef2b9b,,,,,,,,,,,,,,,
ムーニィホーン,,100120,0,efd19b45a2ffc817a615056206d24d99,fbab32a5cf240d1810abe2c9cce62341,,,,,,,,,,,,,,,
シャープマシーネホーン,,100130,0,3624f74303ae2f8c4791e0807d8c3a4b,4eb7b7b4d473de8821f7bf02ed2ba325,,,,,,,,,,,,,,,
バフォロホーン,,100140,0,e33453345e84e9ab3b6bd937875f9aa0,43f469f74c2b61693bd06886668b4a41,,,,,,,,,,,,,,,
グレオーンホーン,,100150,0,203751f849a3ec1ee91773b9df199224,cd3693662083a3433b48a1aefc1ea082,,,,,,,,,,,,,,,
バックワードホーン,,100160,0,4f5d6c585a909583e35bd62bdb86c2c1,ca8d9d4aba17c3764d34e46c213c4474,,,,,,,,,,,,,,,
クリスタルホーン,,100170,0,e917ee4ee09748d92087b14d303e2bbb,740ffceea23ad5d05c2e0b88b6f8da9d,,,,,,,,,,,,,,,
ディアブロホーン,,100180,0,3a9dfccaab9e2bd6f1d5a136f12ed341,b8e6d6e57a92e08eabe8c9a4ed50a560,,,,,,,,,,,,,,,
フィアースホーン,,100190,0,78242f32d9e13affd059d078afdd9b47,c1d9a57935f7bac56fc125d71c12e3ef,,,,,,,,,,,,,,,
フィアースホーン/2,,100191,0,4ae16f4c70a482927366241c7cea9c12,f74c453727c36e5ee1369619848a7420,,,,,,,,,,,,,,,
ファンタジックホーン,,100200,0,253423d0d5653a157ae93b75a134b0b6,075d3b3246629105f3e110c912b6bc0a,,,,,,,,,,,,,,,
シュツルムホーン,,100210,0,fe7f208598bbe974946f147c183ccf02,da16bf1caca1545c4837c65732771415,,,,,,,,,,,,,,,
グリッタリーブルホーン,,100220,0,4e2c36d378ce373c9746a642456419d1,0695a9c2b2acfed113cd925cb8ee2083,,,,,,,,,,,,,,,
グリッタリーブルホーン/2,,100221,0,56b0e67f84386abd0ba7913ed8e59846,85386131ce4f849912387cf4daaab477,,,,,,,,,,,,,,,
マシーネビートルホーン,,100230,0,9d9edfc879b91406fd0fa2e633479efb,7497d2705007922bfb9e41f237746430,,,,,,,,,,,,,,,
マシーネビートルホーン/2,,100231,0,c09775ad3fe82160136c6839f9d15cd9,89e4eaa4bd13d985ad17caea6c374e0a,,,,,,,,,,,,,,,
ファニーゼブラホーン,,100240,0,4ba844d546e84469399f92a32263705c,ef8f7a325b58ed9185394be82bd3d6b1,,,,,,,,,,,,,,,
ファニーゼブラホーン/2,,100241,0,d9a428d8a8717a32c21852c3f5b7eaf3,beec0fb6c3c50c761be21e2e05a00a24,,,,,,,,,,,,,,,
アシンメホーン,,100250,0,b75307aee15d79eba54e236cc2c9a647,107f20d640dca3b1766c0d708c8d5a83,,,,,,,,,,,,,,,
アシンメホーン/2,,100251,0,ea14f169ecb487978a2526c6b7c0e6f9,c735d8a310bb99d6c27a8c3163c0e6da,,,,,,,,,,,,,,,
ブレードホーン,,100260,0,8672893793e37f74553f47891a554e2e,fc736a4858efff47b748c0e6d16df065,,,,,,,,,,,,,,,
リュウジンホーン,,100270,0,4dc677e071c0f8cf165e7f139cde1049,a55418b5440ef2ddb301bf196dfa337d,,,,,,,,,,,,,,,
リンジーホーンL,,100290,0,e839265d8ce9ff5126c26ed71fd91292,0f12bd0dc1c233b45b71b7ab2dbceb7c,,,,,,,,,,,,,,,
リンジーホーンR,,100291,0,9fe85ae1688d4e16c175ddb8aae015b5,aaecfb0743e8a8ab9d0328c9bdb000c4,,,,,,,,,,,,,,,
