Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
スラットまゆ,,100010,0,bea6eb74d60572b2de4ba573dc864146,8e5549a128178e7a2795a2eac368c603,,,,,,,,,,,,,,,,,
キリットまゆ,,100020,0,8319cda432f260a84ff2ef548c96b298,bbfcdd0112542a6a83cc0b14d529fe72,,,,,,,,,,,,,,,,,
キムジカまゆ,,100030,0,d644181bae3905712fa62e3185f0e79d,ab3bb38b1cf240894239e0129b72d68e,,,,,,,,,,,,,,,,,
ゴーキナまゆ,,100040,0,895f655873f325c62a2c5af57b7e4567,784de2a1bbcee191690901a9ab81870e,,,,,,,,,,,,,,,,,
イサマシまゆ,,100050,0,04c86dd4219916aab6ec6a8166517248,518a194aaa60c741239c666496396c29,,,,,,,,,,,,,,,,,
ヨワキナまゆ,,100060,0,ccd4d6b297b3716b562c78942aa49e45,3200210d617e03cebe4a8b1d3ab552b0,,,,,,,,,,,,,,,,,
ションボリまゆ,,100070,0,7f79b0d5945f708dba1e2bb593b9b40e,a2e3609deb77549b70d1b2b7cc88486f,,,,,,,,,,,,,,,,,
オダヤカまゆ,,100080,0,1989dee4a5c8496bc3346261d8ce44b6,1cf7143ce995a8a5be8093f04001d1cd,,,,,,,,,,,,,,,,,
サラーリまゆ,,100090,0,4bc7cdb0b8e4304955345c9beb862c26,2b9ce1f0db8e600c9f602a0d78598f7b,,,,,,,,,,,,,,,,,
ションボリまゆ/B,,100100,0,509cdfba941ca3cb8fbd877f9106a58b,ff8458a2c4e6b413a7a407c19cd4e481,,,,,,,,,,,,,,,,,
マノニカまゆ,,100120,0,61880b5890a91fa8f0918d6cb53cdeee,28e8ddb6be4165e383fded64ab5926fc,,,,,,,,,,,,,,,,,
アニマティカまゆ,,100150,0,306c4bd97c98a1e8485ea8a3b8823ee0,03db1c86e7e71b2c3c8178e6a15e7989,,,,,,,,,,,,,,,,,
アニマティカまゆ/B,,100160,0,e20498ddb5f26ff8625e85441da78e55,c3180716cb94ee5fb005e7d88a692609,,,,,,,,,,,,,,,,,
アニマティカまゆ/C,,100170,0,ab6874199b059574843281c9f3176298,61b15233dd8ddcaf5931191eddcfc957,,,,,,,,,,,,,,,,,
