＊ジャンクヤード・ドッグ,* Junkyard Dog,item/weapon/it_wp_13_066.ice,5e\667f400306165bca500b26505c7498
エッジレボルシオ,Saika Revolsio,item/weapon/it_wp_13_253.ice,67\d0abf7b57f43a4edbb8e5cabb21906
エッジドミナシオ,Saika Dominacio,item/weapon/it_wp_13_254.ice,77\3a4338c64515bfb8639c6bfad4e6d8
エッジインクルシオ,Saika Inclusio,item/weapon/it_wp_13_255.ice,c3\93cc2c8f66c5a5a5c69beb18f3212b
＊レヴァティーン,* Laevateinn,item/weapon/it_wp_13_354.ice,0a\51bc0e03927d844504d5fcd99a4b05
プリムウォンド,Primm Wand,item/weapon/it_wp_13_501.ice,11\94fb20da710ee80c61aa3764fe59d9
リサージュウォンド,Resurgir Wand,item/weapon/it_wp_13_502.ice,79\2ebde7a55b13bfcc242dce9a634f1f
グリッセンウォンド,Glissen Wand,item/weapon/it_wp_13_503.ice,ae\4556dace848b260ebda3469aebec17
グレティーガウォンド,Greaga Wand,item/weapon/it_wp_13_504.ice,e7\483dbe415773ab5412aa5332f7215d
クロフォードのウォンド?,Crawford Wand?,item/weapon/it_wp_13_505.ice,0f\8c2d5f98545c2b853298d725b96fd0
ロクス・ラグフェンウォンド,Rokz Roughewn Wand,item/weapon/it_wp_13_506.ice,b4\27c3d8dbd66b28ade956181e03d6c5
トロワーデウォンド,Trois De Wand,item/weapon/it_wp_13_507.ice,60\f97eaeb394128307d53a57d297bb05
キャトリアウォンド,Cattleya Wand,item/weapon/it_wp_13_508.ice,74\da08c95811595173ada2985f5da451
ツヴィアウォンド,Tzvia Wand,item/weapon/it_wp_13_509.ice,5c\51f85a78b3c473cf000fb12c83f366
エヴォルコートウォンド,Evolcoat Wand,item/weapon/it_wp_13_510.ice,ce\8769f15cabc74d4a49a6420aa34e95
フランメルウォンド,Flamel Wand,item/weapon/it_wp_13_511.ice,ef\60b82ef20fce5c866d889d2130b9c8
フィブラウォンド,Fivla Wand,item/weapon/it_wp_13_512.ice,e4\26d921d45ef805f274b3f7bef6bd62
サンクエイムウォンド,Cinquem Wand,item/weapon/it_wp_13_513.ice,1a\4f02512ea12c3db46207c63ac5f550
フロステルウォンド,Frostel Wand,item/weapon/it_wp_13_514.ice,70\8921ea7eb963646da5edeba2f201bc
ラゲードウォンド,Rugged Wand,item/weapon/it_wp_13_515.ice,bd\8c910b8314104aa671bb67180205e0
カイゼラムウォンド,Kaizaar Wand,item/weapon/it_wp_13_516.ice,c7\6d7e8ddf781d341048efd740f4dc44
ゼクストルウォンド,Sechetyl Wand,item/weapon/it_wp_13_517.ice,44\9bb38587320ed731b813c15204391f
コルディークウォンド,Codeck Wand,item/weapon/it_wp_13_518.ice,59\42e74f7aec4f9bb82a562e90d0dff7
,,item/weapon/it_wp_13_519.ice,4f\6cceee67a001cb6c0bdb881ba7adb5
＊グラヴィルクルーツ,* Gravil Krutz,item/weapon/it_wp_13_520.ice,5e\f2dc2e6af80d20d0b76b74b359e5bd
ゴルドプリムウォンド,Gold Primm  Wand,item/weapon/it_wp_13_521.ice,5e\c49e59c4aae8d817d10f8cb7d5b0bb
シルヴァプリムウォンド,Silver Primm Wand,item/weapon/it_wp_13_522.ice,59\a2be318c178cc87e707040ff7fae80
フレーリアウォンド,Frere Wand,item/weapon/it_wp_13_523.ice,35\de986824521354e00f3559ac653a2f
ストラーガウォンド,Straga Wand,item/weapon/it_wp_13_524.ice,1a\882de80f933c16e0749d603618ed26
＊ザンオウゴウ,* Lacerating Sakura,item/weapon/it_wp_13_525.ice,1f\8e00962b3326b71e08635da55a55ee
オブスクラルウォンド,Obscura Wand,item/weapon/it_wp_13_526.ice,c9\08caa0083f36920e2a063c615c4d55
DEBUG - プリムウォンド,Steel Primm Wand,item/weapon/it_wp_13_527.ice,93\5c42cedd02145d597c27e2e6ab5299
レリク・バルバトス,Relik Barbatos,item/weapon/it_wp_13_528.ice,7b\1689c89f43d3c3310598c8fdd55b34
ククロゼアトウォンド,Kukuhroziat Wand,item/weapon/it_wp_13_529.ice,48\5e370e21aa71448acfe4264073c499
